1      	1    	2.5	0
1      	2    	3.5	0
1      	3    	3.0	0
1      	4    	3.5	0
1      	5    	2.5	0
1      	6    	3.0	0
2      	1    	3.0	0
2      	2    	3.5	0
2      	3    	1.5	0
2      	4    	5.0	0
2      	6    	3.0	0
2      	5    	3.5	0
3   	1    	2.5	0
3   	2    	3.0	0
3   	4    	3.5	0
3   	6    	4.0	0
4   	2    	3.5	0
4   	3    	3.0	0
4   	6    	4.5	0
4   	4    	4.0	0
4   	5    	2.5	0
5      	1    	3.0	0
5      	2    	4.0	0
5      	3    	2.0	0
5      	4    	3.0	0
5      	6    	3.0	0
5      	5    	2.0	0
6      	1    	3.0	0
6      	2    	4.0	0
6      	6    	3.0	0
6      	4    	5.0	0
6      	5    	3.5	0
7      	2    	4.5	0
7      	5    	1.0	0
7      	4    	4.0	0
