Lisa      	1    	2.5	0
Lisa      	2    	3.5	0
Lisa      	3    	3.0	0
Lisa      	4    	3.5	0
Lisa      	5    	2.5	0
Lisa      	6    	3.0	0
Gene      	1    	3.0	0
Gene      	2    	3.5	0
Gene      	3    	1.5	0
Gene      	4    	5.0	0
Gene      	6    	3.0	0
Gene      	5    	3.5	0
Michael   	1    	2.5	0
Michael   	2    	3.0	0
Michael   	4    	3.5	0
Michael   	6    	4.0	0
Claudia   	2    	3.5	0
Claudia   	3    	3.0	0
Claudia   	6    	4.5	0
Claudia   	4    	4.0	0
Claudia   	5    	2.5	0
Mick      	1    	3.0	0
Mick      	2    	4.0	0
Mick      	3    	2.0	0
Mick      	4    	3.0	0
Mick      	6    	3.0	0
Mick      	5    	2.0	0
Jack      	1    	3.0	0
Jack      	2    	4.0	0
Jack      	6    	3.0	0
Jack      	4    	5.0	0
Jack      	5    	3.5	0
Toby      	2    	4.5	0
Toby      	5    	1.0	0
Toby      	4    	4.0	0
